source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
200,Turin,,Italy,147.6,103.9,48.0,66.0,61.7,8.4,27.6,66.8,85.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
201,London,,United Kingdom,147.1,129.9,44.8,69.6,87.4,15.0,44.7,57.6,88.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
202,Paris,,France,146.1,129.9,42.1,76.9,77.8,16.7,41.1,63.1,88.4,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
203,Pretoria,,South Africa,145.5,111.6,18.3,66.5,41.5,2.7,43.7,57.1,95.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
204,Mangalore,,India,145.2,55.1,74.4,62.0,17.2,8.1,35.4,50.3,66.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
205,Novi Sad,,Serbia,144.5,74.0,61.6,50.2,45.5,14.9,18.0,53.4,84.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
206,San Juan,,Puerto Rico,144.4,113.1,33.2,63.1,69.2,9.6,34.5,48.9,71.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
207,Guangzhou,,China,144.3,112.1,71.6,67.2,35.5,23.4,36.0,67.5,80.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
208,Johannesburg,,South Africa,144.1,121.4,19.2,60.5,41.8,2.7,40.7,62.1,91.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
209,Sofia,,Bulgaria,143.9,102.5,61.4,58.5,49.1,11.3,30.5,67.6,76.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
210,Detroit,MI,United States,143.3,141.0,27.2,62.6,66.6,3.8,43.7,62.1,66.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
211,Budapest,,Hungary,142.9,94.6,66.4,52.1,54.7,15.0,38.7,52.9,78.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
212,Iasi,,Romania,142.6,87.2,65.2,55.9,40.1,10.7,32.8,60.7,73.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
213,Montevideo,,Uruguay,142.3,72.1,43.2,68.5,56.4,11.4,41.0,46.1,98.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
214,Minsk,,Belarus,141.7,82.2,50.7,50.3,35.3,10.6,31.4,42.5,64.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
215,Islamabad,,Pakistan,141.2,48.3,69.3,63.7,24.1,15.8,35.9,41.5,76.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
216,Kuala Lumpur,,Malaysia,140.9,126.2,40.8,69.5,38.7,8.7,41.6,64.8,56.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
217,Chiang Mai,,Thailand,139.6,59.0,78.0,84.7,32.3,13.9,26.2,77.8,75.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
218,Bangalore,,India,138.6,127.2,46.3,65.4,20.7,7.5,53.6,82.5,89.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
219,Banja Luka,,Bosnia And Herzegovina,138.4,68.0,65.1,46.1,43.4,14.4,22.4,56.1,82.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
220,Tashkent,,Uzbekistan,138.0,59.2,74.1,65.8,29.3,11.3,35.8,60.2,69.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
